       20	2019-10-05 09:55:57	8	0	1	0
       20	2019-10-05 09:56:33	8	1	1	0
       28	2019-10-05 09:58:38	8	0	1	0
       20	2019-10-05 09:58:46	8	1	1	0
       28	2019-10-05 09:58:56	8	1	1	0
        8	2019-10-06 09:05:11	8	0	1	0
        8	2019-10-06 09:05:19	8	0	1	0
       20	2019-10-06 09:05:53	8	0	1	0
        7	2019-10-06 09:07:33	8	0	1	0
        9	2019-10-06 09:08:41	8	0	1	0
        9	2019-10-06 09:08:58	8	0	1	0
        9	2019-10-06 09:09:04	8	0	1	0
        9	2019-10-06 09:09:11	8	0	1	0
        9	2019-10-06 09:09:35	8	0	1	0
        9	2019-10-06 09:09:43	8	0	1	0
        4	2019-10-06 09:10:38	8	0	1	0
        1	2019-10-06 09:13:18	8	0	1	0
        4	2019-10-06 12:55:26	8	1	1	0
        7	2019-10-06 13:07:14	8	5	1	0
        1	2019-10-06 14:12:09	8	1	1	0
        9	2019-10-06 17:00:51	8	0	1	0
        9	2019-10-06 17:01:04	8	1	1	0
        8	2019-10-06 17:01:31	8	1	1	0
        2	2019-10-06 20:32:39	8	0	1	0
        2	2019-10-06 20:33:05	8	1	1	0
        6	2019-10-06 20:35:34	8	0	1	0
        2	2019-10-06 21:02:19	8	1	1	0
        9	2019-10-07 08:29:21	8	0	1	0
        4	2019-10-07 08:52:22	8	0	1	0
        1	2019-10-07 08:57:57	8	0	1	0
        4	2019-10-07 12:34:52	8	1	1	0
        4	2019-10-07 13:04:34	8	0	1	0
        1	2019-10-07 14:08:43	8	1	1	0
       20	2019-10-07 14:59:34	8	0	1	0
        9	2019-10-07 16:03:25	8	1	1	0
        9	2019-10-07 16:03:41	8	1	1	0
       20	2019-10-07 20:59:17	8	1	1	0
        9	2019-10-08 08:30:34	8	0	1	0
       20	2019-10-08 08:38:33	8	0	1	0
        2	2019-10-08 08:50:16	8	0	1	0
        8	2019-10-08 08:54:16	8	0	1	0
        8	2019-10-08 08:54:25	8	0	1	0
